setup	problem	target	train_dataset	test_dataset	is_null	metric	i_split	i_iter	score
mega	regression	nb:Age	site1-site2	site1-site2-weighted	False	explained_variance	0	0	0.0022624754692402993
silo	regression	nb:Age	site1	site1	False	r2	1	0	-22.62730827841192
silo	regression	nb:Age	site1	site1	False	mean_squared_error	1	0	5294.172554122855
silo	regression	nb:Age	site1	site1	False	mean_absolute_error	1	0	71.18368595520381
silo	regression	nb:Age	site1	site1	False	explained_variance	1	0	-0.013323246486669937
silo	regression	nb:Age	site1	site2	False	r2	1	0	-27.36103672017014
silo	regression	nb:Age	site1	site2	False	mean_squared_error	1	0	5432.496172560164
silo	regression	nb:Age	site1	site2	False	mean_absolute_error	1	0	72.39027202166496
silo	regression	nb:Age	site1	site2	False	explained_variance	1	0	-0.003115770833838738
silo	regression	nb:Age	site1	site1-site2	False	r2	1	0	-24.76258225245029
silo	regression	nb:Age	site1	site1-site2	False	mean_squared_error	1	0	5363.33436334151
silo	regression	nb:Age	site1	site1-site2	False	mean_absolute_error	1	0	71.78697898843438
silo	regression	nb:Age	site1	site1-site2	False	explained_variance	1	0	-0.008554518220251994
silo	regression	nb:Age	site1	site1-site2-weighted	False	r2	1	0	-24.76258225245029
silo	regression	nb:Age	site1	site1-site2-weighted	False	mean_squared_error	1	0	5363.33436334151
silo	regression	nb:Age	site1	site1-site2-weighted	False	mean_absolute_error	1	0	71.78697898843438
silo	regression	nb:Age	site1	site1-site2-weighted	False	explained_variance	1	0	-0.008554518220251994
silo	regression	nb:Age	site2	site1	False	r2	1	0	-22.589599770292793
silo	regression	nb:Age	site2	site1	False	mean_squared_error	1	0	5285.723206173913
silo	regression	nb:Age	site2	site1	False	mean_absolute_error	1	0	71.16488835810509
silo	regression	nb:Age	site2	site1	False	explained_variance	1	0	0.012443411564112994
silo	regression	nb:Age	site2	site2	False	r2	1	0	-27.37478029073569
silo	regression	nb:Age	site2	site2	False	mean_squared_error	1	0	5435.128724227133
silo	regression	nb:Age	site2	site2	False	mean_absolute_error	1	0	72.41586283664128
silo	regression	nb:Age	site2	site2	False	explained_variance	1	0	0.002486773000545006
silo	regression	nb:Age	site2	site1-site2	False	r2	1	0	-24.748611867377495
silo	regression	nb:Age	site2	site1-site2	False	mean_squared_error	1	0	5360.425965200523
silo	regression	nb:Age	site2	site1-site2	False	mean_absolute_error	1	0	71.79037559737318
silo	regression	nb:Age	site2	site1-site2	False	explained_variance	1	0	0.007758401450865482
silo	regression	nb:Age	site2	site1-site2-weighted	False	r2	1	0	-24.748611867377498
silo	regression	nb:Age	site2	site1-site2-weighted	False	mean_squared_error	1	0	5360.425965200524
