	nb:Age	nb:Sex_snomed:248152002	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	Left-Lateral-Ventricle	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Left-Hippocampus	Left-Amygdala	Left-Accumbens-area	Right-Lateral-Ventricle	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	EstimatedTotalIntraCranialVol
count	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0
mean	74.72156524658203	0.46875	0.001187016605399549	-0.1200699582695961	-0.14410726726055145	-0.08013670891523361	0.05093429610133171	-0.1078779399394989	-0.07580675929784775	-0.10773587226867676	0.0353851281106472	-0.015161012299358845	0.19316959381103516	-0.11471601575613022	0.04688408598303795	0.1307602971792221	-0.0902341827750206	0.01729266159236431	-0.08014153689146042	-0.02610914222896099	0.027713395655155182	0.05690869688987732	-0.031461410224437714	0.06709907203912735	0.19607771933078766	-0.17176945507526398	-0.013634055852890015	0.17220135033130646	-0.07479161024093628	0.034334696829319	-0.027021532878279686	0.1889898031949997	0.07127494364976883	-0.20603345334529877	-0.1885472536087036	0.13665330410003662	0.02416004240512848	-0.07717243582010269	-0.01182327140122652	0.16439580917358398	-0.013633999042212963	0.12414208054542542	-0.03788299858570099	0.07174252718687057	0.024908380582928658	0.21062958240509033	0.00884321704506874	-0.04999804496765137	0.0589783638715744	-0.14419133961200714	-0.17405767738819122	0.08175066858530045	0.04311959818005562	0.14700953662395477	-0.017460694536566734	0.06567607074975967	-0.031015461310744286	0.08616264909505844	0.09075190871953964	0.0020582873839884996	-0.0035220980644226074	-0.016264664009213448	0.01859637163579464	0.08962718397378922	0.06812139600515366	0.106621652841568	-0.07873082160949707	-0.016862640157341957	-0.009177188389003277	0.14731092751026154	0.12901002168655396	-0.08109503984451294	-0.00015986959624569863	-0.10573527216911316	0.11268611997365952	0.094094417989254	0.13900861144065857	-0.07320409268140793	-0.010679618455469608	-0.04196326807141304	0.11187078803777695
std	14.357115745544434	0.501642040544954	1.0395424365997314	0.9555245637893677	0.9985580444335938	0.9274692535400391	0.9633522033691406	1.0413320064544678	0.9858233332633972	1.0023106336593628	1.175582766532898	0.9177999496459961	1.0516352653503418	1.07953941822052	0.9988489151000977	1.0190918445587158	0.8869848847389221	1.0110538005828857	0.9875431656837463	1.0464107990264893	0.9266228675842285	1.0424586534500122	1.0290292501449585	1.137417197227478	1.0347119569778442	0.9824714064598083	1.0481674671173096	0.9786607027053833	1.1284393072128296	1.0070632696151733	0.9312869906425476	1.0754594802856445	0.9710699915885925	0.9338545799255371	1.0425219535827637	1.084863305091858	0.986696183681488	1.0510835647583008	1.1099315881729126	0.8806893229484558	1.0135117769241333	0.9230084419250488	0.9646614789962769	0.9158108830451965	0.9586589336395264	1.0420678853988647	1.043912649154663	1.0098960399627686	1.0120042562484741	0.9541649222373962	0.9559296369552612	1.0190958976745605	0.9225037693977356	1.0295112133026123	1.0316983461380005	0.9150938987731934	1.02432119846344	0.9716691970825195	0.8833646178245544	0.9318601489067078	1.0427379608154297	1.0467159748077393	1.0044840574264526	1.027457594871521	0.9448618292808533	0.9861230850219727	0.9874461889266968	0.980600893497467	0.9699395895004272	1.0383135080337524	1.0048017501831055	0.8444088697433472	0.9487600922584534	1.0351251363754272	1.0751805305480957	1.0617576837539673	0.9675152897834778	0.9238207340240479	0.9101898074150085	0.9721125960350037	1.005161166191101
min	51.09000015258789	0.0	-2.3679301738739014	-2.447868585586548	-3.382992744445801	-2.547304153442383	-2.4783127307891846	-2.956134080886841	-2.356011390686035	-2.6995363235473633	-3.2301220893859863	-2.0806186199188232	-2.8320369720458984	-2.1334753036499023	-2.1999824047088623	-2.110320568084717	-2.4495491981506348	-2.3376944065093994	-2.492729425430298	-2.6665432453155518	-2.1469674110412598	-2.588973045349121	-3.0508508682250977	-2.760279893875122	-2.3887851238250732	-2.696599245071411	-2.360738515853882	-2.789031744003296	-2.3682444095611572	-2.3385138511657715	-2.093536615371704	-1.8622761964797974	-1.9221762418746948	-2.746548652648926	-2.6403491497039795	-2.8919243812561035	-2.560264825820923	-2.5738816261291504	-2.627798557281494	-2.364657163619995	-2.4206066131591797	-2.2239830493927	-2.523240804672241	-2.2843129634857178	-2.1282713413238525	-2.373112916946411	-2.313849687576294	-1.8684848546981812	-4.025318622589111	-3.0037927627563477	-2.8522419929504395	-1.9665499925613403	-2.339494466781616	-2.5996510982513428	-2.864703416824341	-1.9181398153305054	-2.2726986408233643	-2.283245325088501	-2.093959331512451	-2.037313938140869	-2.316326379776001	-2.527541399002075	-2.608529806137085	-1.890319585800171	-2.11842942237854	-2.75651216506958	-2.4891796112060547	-2.268582582473755	-2.673018217086792	-1.7176767587661743	-2.1087522506713867	-1.9716525077819824	-2.047595262527466	-2.3001976013183594	-3.3778300285339355	-2.492262840270996	-2.0231380462646484	-2.4412145614624023	-2.119342803955078	-2.34793758392334	-2.6687891483306885
25%	61.15249824523926	0.0	-0.6867467015981674	-0.7101364284753799	-0.8270279467105865	-0.6430717408657074	-0.5877653658390045	-0.7546469122171402	-0.6459917724132538	-0.8687921315431595	-0.6699393391609192	-0.668054074048996	-0.4792020618915558	-0.8012344092130661	-0.6394826769828796	-0.524719774723053	-0.6506815850734711	-0.5852783620357513	-0.6678252518177032	-0.6535836756229401	-0.5798135846853256	-0.6264264434576035	-0.6725323051214218	-0.6417972445487976	-0.3745114728808403	-0.7925344109535217	-0.8451263159513474	-0.4177771955728531	-0.8800116926431656	-0.6874339878559113	-0.6081104725599289	-0.6799035370349884	-0.5323213487863541	-0.8006101548671722	-0.853348970413208	-0.6534640789031982	-0.6106634736061096	-0.7267274260520935	-0.71876260638237	-0.4201861545443535	-0.6433833688497543	-0.4675593748688698	-0.6101753264665604	-0.4781159535050392	-0.7302640080451965	-0.40290195494890213	-0.6394155472517014	-0.7709300369024277	-0.6059994101524353	-0.7266785353422165	-0.6682907193899155	-0.64389269053936	-0.5045383125543594	-0.43306609243154526	-0.6353134661912918	-0.5112313628196716	-0.8278947621583939	-0.6080669462680817	-0.5244440585374832	-0.6623456031084061	-0.8023123443126678	-0.7843866348266602	-0.6472136974334717	-0.5430561304092407	-0.6153225749731064	-0.5221378356218338	-0.8590157479047775	-0.8074082434177399	-0.5036834180355072	-0.6335782706737518	-0.5503187030553818	-0.629966527223587	-0.764612078666687	-0.7832416296005249	-0.587030440568924	-0.6592797189950943	-0.43962614983320236	-0.5861471891403198	-0.4958605021238327	-0.7629786878824234	-0.6230626702308655
50%	73.40499877929688	0.0	-0.05205521173775196	-0.21212723851203918	-0.2007514089345932	0.031098345294594765	-0.06304167211055756	-0.11490447074174881	-0.031326767057180405	-0.11239462718367577	0.09492038935422897	-0.12558894231915474	0.25582413375377655	-0.13729321584105492	-0.10519243404269218	0.07291276380419731	-0.18115989863872528	0.014847997575998306	-0.1176719143986702	-0.012769309803843498	-0.15040990710258484	0.011554643511772156	-0.16376862674951553	0.03855929896235466	0.2584114894270897	-0.338240310549736	-0.027150370180606842	0.2811841666698456	-0.0589322317391634	-0.12356547638773918	-0.002985699102282524	0.1648787409067154	0.008112430572509766	-0.12387637421488762	-0.15986651927232742	0.16319041699171066	-0.0025760118587641045	-0.15438220649957657	0.05991816148161888	0.19549211859703064	-0.03602832742035389	0.16958478093147278	-0.04733665846288204	0.2154366448521614	-0.07668732479214668	0.24560624361038208	0.030297528952360153	-0.14471261948347092	0.10353755205869675	-0.17373323440551758	0.053559547290205956	0.05182182230055332	-0.06538375094532967	0.13810863345861435	0.0452429186552763	0.05478698015213013	-0.06339323334395885	0.11340383440256119	0.08293391019105911	-0.04432186484336853	0.02230953983962536	0.014206677675247192	0.009436912834644318	-0.008352938806638122	0.08309660293161869	0.12070246040821075	-0.10986307263374329	0.011770075187087059	0.06892503052949905	0.1355312094092369	0.020676786080002785	-0.06283298879861832	0.12475545704364777	-0.17153342440724373	0.26893164217472076	-0.0013109557330608368	0.20532551407814026	-0.14778565615415573	0.03973168879747391	0.11505453661084175	0.05188657343387604
75%	88.56750106811523	1.0	0.5877663493156433	0.5175615400075912	0.43390482664108276	0.5604493468999863	0.6569670587778091	0.5741834491491318	0.697094053030014	0.6470499336719513	0.7922393977642059	0.5622289627790451	0.991692841053009	0.503612644970417	0.7514821290969849	0.838890478014946	0.5263742357492447	0.5095836520195007	0.518887922167778	0.798190101981163	0.6147455871105194	0.8234052956104279	0.7473268657922745	0.7565343528985977	0.814400389790535	0.5300059169530869	0.8371787965297699	0.9058747440576553	0.539530023932457	0.5972012579441071	0.6186807602643967	0.8899999409914017	0.662424623966217	0.481122687458992	0.5360295623540878	0.8740730434656143	0.6884464025497437	0.6674950122833252	0.7776419669389725	0.684328556060791	0.7793169319629669	0.6779710501432419	0.561703160405159	0.7025252729654312	0.7501592636108398	0.8269680738449097	0.7191467136144638	0.5901379287242889	0.8410749286413193	0.3989736884832382	0.47793491929769516	0.846421867609024	0.6608868390321732	0.8373150378465652	0.5273924022912979	0.6006813496351242	0.6419555097818375	0.8454151898622513	0.7162709534168243	0.6208451986312866	0.721184641122818	0.7369694113731384	0.7286043763160706	0.8000402897596359	0.7404958605766296	0.7325478047132492	0.5043868198990822	0.7400417327880859	0.6594337075948715	0.8216038346290588	0.7999603599309921	0.46686647087335587	0.629205048084259	0.6681650727987289	0.8590109199285507	0.9995249211788177	0.7185195684432983	0.4809839278459549	0.4801724851131439	0.5389057844877243	0.8739516139030457
max	99.43000030517578	1.0	3.4556024074554443	2.272099018096924	3.696302652359009	1.8871146440505981	2.4093217849731445	1.9814622402191162	2.1537444591522217	2.285402297973633	2.347330331802368	2.0962443351745605	2.7410190105438232	2.544818878173828	2.079707622528076	2.5774953365325928	1.8014239072799683	3.1243929862976074	2.443915367126465	2.118759870529175	2.2137701511383057	2.872925043106079	2.2880403995513916	2.4600236415863037	2.848813533782959	3.1744508743286133	2.270134687423706	2.035612106323242	3.6073975563049316	2.6700491905212402	1.910163402557373	2.9487297534942627	2.7464864253997803	1.5997792482376099	2.139960289001465	2.490055561065674	2.177049160003662	3.5721065998077393	3.903104305267334	2.1953318119049072	2.5339417457580566	2.385469913482666	1.9633527994155884	2.593177080154419	2.4132864475250244	4.915983200073242	2.3699166774749756	3.084536552429199	2.068819284439087	2.871453046798706	1.801305890083313	2.2706565856933594	2.7925679683685303	2.431762218475342	2.0604259967803955	2.3162124156951904	2.751371383666992	2.565535068511963	1.9022507667541504	2.246594190597534	2.4064555168151855	2.1734251976013184	2.286618709564209	2.754307746887207	2.2046566009521484	2.8133718967437744	2.5757412910461426	2.422529697418213	2.756255626678467	4.116652965545654	2.559640884399414	2.0136775970458984	1.7740980386734009	2.571596145629883	2.462536573410034	2.1544058322906494	2.0672075748443604	2.681889057159424	2.7859199047088623	2.7447967529296875	2.255652904510498
