	nb:Age	nb:Sex_snomed:248152002	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	Left-Lateral-Ventricle	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Left-Hippocampus	Left-Amygdala	Left-Accumbens-area	Right-Lateral-Ventricle	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	EstimatedTotalIntraCranialVol
count	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0	96.0
mean	74.16031646728516	0.53125	-0.019854644313454628	0.23909004032611847	0.021107180044054985	0.20642518997192383	0.027843093499541283	0.06218022108078003	0.05261935666203499	-0.0195630993694067	-0.12321969121694565	0.04845874384045601	-0.16407492756843567	-0.052590835839509964	-0.15305748581886292	-0.08536060899496078	-0.08561847358942032	0.15753142535686493	0.1330653578042984	-0.13509878516197205	0.02852390892803669	-0.11859238147735596	0.01982416771352291	-0.036791663616895676	0.20544080436229706	-0.042249422520399094	-0.026516005396842957	0.03719761595129967	-0.1148674488067627	-0.037110503762960434	0.06397399306297302	0.06385353207588196	0.13180407881736755	-0.0864417776465416	0.02760842628777027	0.08003249019384384	0.1912541538476944	0.13361801207065582	0.03914029523730278	-0.06758980453014374	-0.10150658339262009	-0.006184130907058716	0.1297822743654251	-0.10639301687479019	-0.07193242758512497	-0.10247951000928879	0.08725857734680176	-0.08172351121902466	-0.0879209041595459	0.0646779015660286	-0.2210818976163864	-0.016250770539045334	0.2519398629665375	-0.0459183007478714	0.1449548453092575	0.007855226285755634	-0.10390174388885498	0.051684796810150146	0.005294365342706442	-0.08608927577733994	0.10949511080980301	0.10556701570749283	-0.08767420053482056	-0.03725765272974968	0.14933255314826965	-0.050346072763204575	-0.07694409787654877	0.008876423351466656	-0.023498350754380226	-0.03970875218510628	0.2071249932050705	-0.015977367758750916	0.1026061400771141	-0.15829415619373322	0.15588323771953583	0.011212135665118694	-0.002263364614918828	-0.02153696119785309	-0.025440270081162453	-0.10079789161682129	-0.059733420610427856
std	13.871594429016113	0.501642040544954	0.9161312580108643	1.0243637561798096	0.9048020243644714	1.0114789009094238	0.9877079725265503	1.0359264612197876	1.0206189155578613	0.9455198049545288	0.816529393196106	1.1431728601455688	1.012449026107788	0.987281322479248	1.0059399604797363	0.9674546122550964	0.9910931587219238	0.9897600412368774	1.0179740190505981	0.9641664028167725	1.0311638116836548	0.9890217781066895	0.9963470697402954	1.0339174270629883	1.004441738128662	0.9770324230194092	0.9813423752784729	1.0365444421768188	1.1098252534866333	0.9956973791122437	1.113250494003296	1.0137206315994263	0.9894363880157471	1.0586185455322266	0.9417540431022644	0.9615186452865601	0.9793129563331604	1.0522645711898804	1.058754801750183	0.9356759786605835	0.9462442994117737	1.0731902122497559	0.8902680277824402	0.876082181930542	1.1830880641937256	1.0134778022766113	1.01841402053833	0.8942472338676453	1.0540001392364502	0.8449389338493347	0.9950511455535889	1.0297507047653198	1.0006129741668701	0.8421999216079712	0.9875355362892151	1.0702167749404907	1.0139796733856201	0.9945081472396851	1.09523344039917	0.9820847511291504	1.0935630798339844	1.0513582229614258	0.8338083028793335	0.9199440479278564	0.8305211067199707	0.9910590052604675	1.0331743955612183	0.9587463140487671	1.0811564922332764	0.9431109428405762	1.0325727462768555	0.9780915379524231	0.9969456791877747	0.8567613959312439	1.095727562904358	0.9164120554924011	0.9309071898460388	0.9237297773361206	1.0180729627609253	0.9131700992584229	1.0891321897506714
min	50.59000015258789	0.0	-2.2579596042633057	-1.5848579406738281	-2.4887094497680664	-3.449563503265381	-2.6836936473846436	-2.488738775253296	-2.258402109146118	-2.990623950958252	-2.237942695617676	-2.881187915802002	-2.706650495529175	-2.90720796585083	-2.029724359512329	-2.810802459716797	-2.7381978034973145	-2.430326223373413	-1.9632649421691895	-2.461440086364746	-2.367335319519043	-2.6920459270477295	-2.688304901123047	-3.0546774864196777	-1.9010868072509766	-2.4247798919677734	-2.7550880908966064	-2.396355390548706	-3.70120906829834	-2.4056529998779297	-2.465147018432617	-2.6504175662994385	-2.620594024658203	-3.375202178955078	-3.057206153869629	-2.3875718116760254	-2.0839834213256836	-2.429771661758423	-2.1836581230163574	-1.8981469869613647	-2.947270631790161	-2.1062324047088623	-2.9192662239074707	-2.5869503021240234	-3.5312066078186035	-2.9478394985198975	-2.2996745109558105	-3.053621530532837	-2.318922758102417	-1.7706553936004639	-2.668063163757324	-2.8113367557525635	-2.0689377784729004	-2.060777187347412	-2.2041540145874023	-2.577507495880127	-2.742630958557129	-3.080660343170166	-1.9320290088653564	-2.362229347229004	-2.494096517562866	-2.567183017730713	-2.4776651859283447	-1.9623677730560303	-1.8935099840164185	-2.8092987537384033	-2.830836534500122	-2.1903388500213623	-2.5288591384887695	-2.2940328121185303	-2.047924280166626	-2.142913818359375	-2.4224741458892822	-3.0892763137817383	-2.1700196266174316	-2.567539691925049	-2.253943681716919	-1.9793788194656372	-2.3617072105407715	-2.2217698097229004	-2.05771541595459
25%	62.82999897003174	0.0	-0.5492571294307709	-0.5269833654165268	-0.5715741068124771	-0.42446623742580414	-0.5773345232009888	-0.6240523457527161	-0.653166726231575	-0.6703527569770813	-0.6049060076475143	-0.6010568290948868	-0.8554360121488571	-0.693694144487381	-1.0488149523735046	-0.6464507579803467	-0.8539143651723862	-0.45351985841989517	-0.5921335518360138	-0.6940958350896835	-0.6624213010072708	-0.609142392873764	-0.6027223020792007	-0.6508232206106186	-0.39562108367681503	-0.7733149230480194	-0.6974495500326157	-0.6175551563501358	-0.8218360543251038	-0.6555966883897781	-0.5614215433597565	-0.46139534562826157	-0.4946860074996948	-0.8238647133111954	-0.5916766822338104	-0.508178785443306	-0.4257958084344864	-0.6578186899423599	-0.7746212184429169	-0.8052482903003693	-0.5919415056705475	-0.7371500581502914	-0.3794902637600899	-0.6442307531833649	-0.9466600865125656	-0.8078641146421432	-0.6409040987491608	-0.5323425084352493	-0.8205585479736328	-0.5621362924575806	-0.9089341312646866	-0.6924485266208649	-0.2655695825815201	-0.590294137597084	-0.5076820701360703	-0.6889725029468536	-0.8440860211849213	-0.5692129135131836	-0.7846046388149261	-0.7759461402893066	-0.695334181189537	-0.5503157675266266	-0.6185252666473389	-0.6146362721920013	-0.42128391563892365	-0.6208947598934174	-0.8452902585268021	-0.6844139248132706	-0.7980967909097672	-0.7811999619007111	-0.43555036187171936	-0.6560709923505783	-0.6976195722818375	-0.7771691977977753	-0.6189218163490295	-0.39952564984560013	-0.6593241393566132	-0.5927630364894867	-0.823126807808876	-0.6372461467981339	-0.8397537916898727
50%	72.76499938964844	1.0	0.0013274401426315308	0.0339338444173336	0.06518657132983208	0.3733397126197815	-0.051116231828927994	0.032070945017039776	-0.012005137745290995	-0.004539625602774322	-0.07178308069705963	0.024916494265198708	-0.08557523041963577	0.04292989522218704	-0.0648216363042593	-0.08505478873848915	-0.009685784112662077	0.1784042939543724	0.1118660606443882	-0.11977491527795792	-0.023319018073379993	-0.12529341131448746	0.01996425213292241	0.037577688694000244	0.1411341279745102	0.04268399253487587	0.0933387242257595	0.10097040981054306	-0.1880396008491516	-0.028304264415055513	0.17865589261054993	0.022102096118032932	0.3198213428258896	-0.113761056214571	0.0691522341221571	0.10739364102482796	0.30035531520843506	0.08405905216932297	0.15604308247566223	-0.10392589122056961	-0.013814978301525116	-0.13171296939253807	0.050425831228494644	-0.004268084823706886	-0.06648968160152435	-0.02509604557417333	0.08316970989108086	0.000598045764490962	-0.2046530321240425	0.13385794311761856	-0.21908318251371384	0.1244274452328682	0.306526780128479	-0.0744088664650917	0.008411504328250885	0.1312713623046875	-0.08613738417625427	0.07271986454725266	-0.054793884977698326	-0.10769260674715042	-0.029146910645067692	0.23316632956266403	-0.08860178291797638	-0.06962471455335617	0.04722950421273708	0.0087916674092412	-0.04104175232350826	0.05314472317695618	0.19425146281719208	0.06637299247086048	0.18032561987638474	-0.04930909164249897	0.3118988871574402	-0.17253751307725906	0.1015033945441246	0.16557438671588898	0.011768968775868416	-0.03678783215582371	-0.0014748801477253437	-0.1563713103532791	-0.10337340459227562
75%	85.53750038146973	1.0	0.48369215428829193	0.9311992824077606	0.6391889154911041	0.8262540251016617	0.743609219789505	0.8617671728134155	0.7627850621938705	0.5000981763005257	0.37624797970056534	0.627594068646431	0.5011251717805862	0.6009738743305206	0.5246688723564148	0.4804905503988266	0.5399558395147324	0.8382976800203323	0.7495387345552444	0.46888184547424316	0.7779823392629623	0.5907831937074661	0.6247371882200241	0.5049078315496445	0.8091650903224945	0.651009202003479	0.6104426234960556	0.6440177708864212	0.5402783304452896	0.5643059760332108	0.8023214489221573	0.5459486842155457	0.846935585141182	0.45423517376184464	0.6742796003818512	0.6803707331418991	0.7402867674827576	0.866736963391304	0.8634195923805237	0.5308582484722137	0.476832777261734	0.6312401443719864	0.7512419521808624	0.498375840485096	0.6463499963283539	0.5992965698242188	0.6933502703905106	0.5067563503980637	0.6517741084098816	0.6642406731843948	0.4085957556962967	0.605974406003952	0.9516624063253403	0.4554004743695259	0.9906282126903534	0.7428921014070511	0.5134774446487427	0.7804060876369476	0.5051634609699249	0.5020820423960686	0.7421391308307648	0.7124815732240677	0.48415012657642365	0.4831233099102974	0.7259634286165237	0.6196732968091965	0.46166352927684784	0.654099702835083	0.7127436250448227	0.5926956385374069	0.8804638981819153	0.6539917588233948	0.8058487921953201	0.3864709883928299	0.92406365275383	0.6592045277357101	0.6740408688783646	0.4320673942565918	0.6986088752746582	0.35175108909606934	0.5680925697088242
max	99.44999694824219	1.0	3.105293035507202	2.84670090675354	1.8595921993255615	2.8980448246002197	2.141406536102295	1.9314996004104614	2.782467842102051	2.548179864883423	1.7384672164916992	3.3913660049438477	2.334897041320801	1.9600759744644165	2.2205240726470947	2.432548761367798	2.159003734588623	3.421956777572632	2.455627202987671	2.3239996433258057	2.524852752685547	2.3169896602630615	2.0667924880981445	2.4942893981933594	3.0185678005218506	2.1113669872283936	2.3775291442871094	2.818784713745117	2.980633020401001	2.3216135501861572	3.5129525661468506	2.980563163757324	1.9770489931106567	3.0484976768493652	2.7431247234344482	2.40901780128479	2.8232648372650146	2.5111076831817627	2.8414416313171387	2.059462070465088	2.218296766281128	2.558013439178467	2.4294586181640625	2.1791343688964844	2.449920415878296	1.9649661779403687	2.6555120944976807	1.7712626457214355	3.0887606143951416	2.1759421825408936	2.76067852973938	3.0499675273895264	2.347625970840454	2.014164447784424	2.3912670612335205	3.113149881362915	2.5170705318450928	2.0757031440734863	3.5305533409118652	2.3275306224823	3.124835968017578	2.3160858154296875	1.8649537563323975	1.9782183170318604	2.1149425506591797	2.3957977294921875	2.6273233890533447	2.37530255317688	2.330491542816162	2.600693941116333	2.5613253116607666	2.094959020614624	2.6910860538482666	2.981208562850952	3.2543957233428955	2.6431360244750977	2.542973756790161	2.3909151554107666	2.4583516120910645	2.3003604412078857	2.058361530303955
