	nb:Age	nb:Sex_snomed:248152002	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness	Left-Lateral-Ventricle	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Left-Hippocampus	Left-Amygdala	Left-Accumbens-area	Right-Lateral-Ventricle	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	EstimatedTotalIntraCranialVol
count	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0	344.0
mean	74.08064270019531	0.49127906976744184	0.030050594359636307	0.009195012040436268	-0.06996241211891174	0.05937531217932701	0.11015655845403671	0.0030217531602829695	-0.00286895246244967	-0.05379988253116608	-0.04966308921575546	-0.01475122943520546	-0.01257209200412035	-0.020154323428869247	-0.003328992985188961	0.05752270296216011	-0.045003779232501984	-0.015933280810713768	0.025340450927615166	0.020045412704348564	0.03283100202679634	0.05825873464345932	-0.03704443201422691	0.06824495643377304	0.09614698588848114	-0.08371444791555405	0.049341555684804916	0.05455069616436958	-0.07164739072322845	-0.03678377717733383	2.090320958814118e-05	0.00465735187754035	0.08100830018520355	-0.02791828289628029	-0.0753646120429039	0.08661331236362457	-0.010273030027747154	0.04663664102554321	0.04730760678648949	0.0974135622382164	-0.017721589654684067	0.10532807558774948	0.015530501492321491	-0.030641168355941772	0.07497112452983856	0.013756200671195984	0.08271948248147964	0.005607774015516043	0.0013142172247171402	-0.07074825465679169	-0.11086408793926239	-0.001514157629571855	0.08394071459770203	0.022387435659766197	0.06936369836330414	0.011179565452039242	-0.05548916757106781	0.12270709872245789	0.025376835837960243	-0.033004071563482285	0.027731282636523247	-0.022953758016228676	-0.07235012948513031	0.019724249839782715	0.0023304251953959465	0.05135584995150566	0.034029521048069	0.06795955449342728	-0.04418446496129036	0.03328857943415642	0.09089890122413635	-0.023457849398255348	0.03976605832576752	-0.06263386458158493	0.019607555121183395	0.11069795489311218	0.014162898994982243	0.04180567339062691	-0.00928269699215889	-0.086749367415905	0.08489277958869934
std	14.180326461791992	0.5006521613016782	0.9848220348358154	0.9944050908088684	0.9645731449127197	1.047559380531311	1.0189398527145386	1.0406668186187744	1.01359224319458	1.0110455751419067	0.9736453294754028	1.007470965385437	1.0390578508377075	1.0145095586776733	1.0076388120651245	1.0521371364593506	0.975665271282196	1.0109783411026	1.0256110429763794	0.9864489436149597	0.9922111630439758	1.0171208381652832	0.9901714324951172	1.0503040552139282	0.9972347021102905	1.0027861595153809	1.0569822788238525	0.9927330017089844	1.0701154470443726	0.9655640125274658	1.0287693738937378	1.0574448108673096	1.0256160497665405	1.0044198036193848	1.037128210067749	0.9946461319923401	0.9555976390838623	1.0199476480484009	1.0559033155441284	0.9461158514022827	1.0375736951828003	0.9876821637153625	0.9104488492012024	0.9350785613059998	1.0676898956298828	1.006737232208252	1.0585790872573853	0.9399124979972839	1.0516223907470703	0.959855318069458	0.9917781949043274	1.007369041442871	0.9639847278594971	0.9630774855613708	1.075905203819275	0.964989960193634	1.0350160598754883	0.9946373105049133	0.9642466306686401	0.9829782247543335	1.0362308025360107	1.022865653038025	0.9681724309921265	0.9727931022644043	0.9427372217178345	0.9723798632621765	0.9881889820098877	0.9481363296508789	0.9961442351341248	0.9881708025932312	0.9691365957260132	0.9934666156768799	0.9155728816986084	0.967979907989502	1.0820136070251465	0.9724879264831543	1.0138652324676514	0.948652982711792	0.9467499852180481	0.92586749792099	0.9967440962791443
min	50.13999938964844	0.0	-2.698155164718628	-3.1857898235321045	-3.382992744445801	-3.827214241027832	-3.013040781021118	-2.956134080886841	-2.7944328784942627	-3.2443795204162598	-3.2301220893859863	-2.881187915802002	-2.8320369720458984	-2.90720796585083	-2.6417343616485596	-2.810802459716797	-2.7381978034973145	-2.430326223373413	-2.6701529026031494	-2.6665432453155518	-2.8109915256500244	-3.074096918106079	-3.0508508682250977	-3.2565956115722656	-2.9703900814056396	-2.9745755195617676	-3.083631753921509	-2.789031744003296	-3.864229679107666	-2.4056529998779297	-2.515876293182373	-3.201442241668701	-2.627680540084839	-3.375202178955078	-3.789994239807129	-2.8919243812561035	-2.969632387161255	-2.5738816261291504	-2.627798557281494	-2.364657163619995	-3.368903398513794	-2.9751741886138916	-2.9192662239074707	-2.5869503021240234	-2.874091148376465	-2.9478394985198975	-3.4241600036621094	-3.053621530532837	-4.025318622589111	-3.0037927627563477	-2.8522419929504395	-2.8113367557525635	-2.4463720321655273	-2.6688435077667236	-3.3208935260772705	-2.577507495880127	-3.6791276931762695	-3.080660343170166	-2.774358034133911	-2.6360116004943848	-2.890927314758301	-2.567183017730713	-2.804546594619751	-1.9757493734359741	-2.743788957595825	-2.8092987537384033	-2.830836534500122	-2.3376452922821045	-2.673018217086792	-2.4572641849517822	-2.7487645149230957	-2.595590829849243	-2.4725887775421143	-3.0892763137817383	-3.4492862224578857	-2.567539691925049	-2.770015239715576	-2.8753139972686768	-2.4443230628967285	-2.34793758392334	-3.107712507247925
25%	61.77250003814697	0.0	-0.7035384178161621	-0.6219946444034576	-0.7147689312696457	-0.5575768351554871	-0.5370461642742157	-0.6815719604492188	-0.6758938580751419	-0.6908722370862961	-0.6216862946748734	-0.643492266535759	-0.7213368713855743	-0.7063792943954468	-0.6969589293003082	-0.6464507579803467	-0.6983218044042587	-0.7141898721456528	-0.6686078906059265	-0.6515976041555405	-0.569188579916954	-0.6141897290945053	-0.6719902455806732	-0.5313839316368103	-0.47724437713623047	-0.7563745379447937	-0.7140010893344879	-0.5955795049667358	-0.7984079420566559	-0.6832774877548218	-0.6860625296831131	-0.6169992387294769	-0.6486855894327164	-0.6861238777637482	-0.6607193201780319	-0.5665196627378464	-0.6128573566675186	-0.6340630501508713	-0.619991660118103	-0.5805710852146149	-0.6346457749605179	-0.523029550909996	-0.6117234081029892	-0.6603537052869797	-0.6524641066789627	-0.6744828373193741	-0.6332154721021652	-0.5584561675786972	-0.7450415194034576	-0.6958333104848862	-0.7725982218980789	-0.7291924953460693	-0.5682297050952911	-0.567107155919075	-0.620670348405838	-0.6405904740095139	-0.8147664070129395	-0.5662433058023453	-0.6893115341663361	-0.7139527052640915	-0.7140240371227264	-0.7772249579429626	-0.7090629488229752	-0.6060432195663452	-0.6443348079919815	-0.5540905743837357	-0.7132961750030518	-0.6529741585254669	-0.7685081660747528	-0.7074562758207321	-0.5381877422332764	-0.6849402189254761	-0.5782177746295929	-0.725731372833252	-0.7103640884160995	-0.5474827587604523	-0.6817457377910614	-0.5755348801612854	-0.6972542852163315	-0.7312912940979004	-0.5648809522390366
50%	73.40499877929688	0.0	0.007891692221164703	-0.0526498481631279	-0.07341010123491287	0.10543661192059517	0.08638744056224823	-0.006554221268743277	0.03861445374786854	-0.027377400547266006	-0.0397866815328598	-0.017392261885106564	-0.034594716504216194	0.017346786335110664	-0.05003420636057854	0.047859758138656616	-0.047674765810370445	-0.022523256950080395	-0.032910946756601334	0.09070560708642006	0.024563143961131573	0.09400443360209465	-0.15632982552051544	0.052027877420186996	0.1387745663523674	-0.12446332722902298	0.05420482158660889	0.08880650252103806	-0.0702996626496315	0.025000881403684616	0.029252799227833748	-0.017027128022164106	0.09959232434630394	-0.011987827252596617	-0.029341687448322773	0.09093156084418297	-0.005683887517079711	0.03450617287307978	-0.014377471525222063	0.13696379959583282	-0.027864151634275913	0.10720782354474068	-0.009347178507596254	-0.004268084823706886	0.028027178719639778	0.03592020180076361	0.13440967351198196	-0.013800447806715965	0.013779542874544859	-0.1126462072134018	-0.07014371454715729	0.03404523245990276	0.0844370387494564	0.05782213993370533	0.02235238440334797	0.022835275158286095	-0.0587867833673954	0.1222359724342823	0.03201145585626364	-0.0030444737058132887	0.02643789630383253	0.009939937153831124	-0.08450158312916756	-0.021922912448644638	-0.037676867097616196	0.016215229406952858	-0.00403109984472394	0.06793118640780449	0.03006519004702568	0.06944960728287697	0.07124799489974976	-0.04936959967017174	0.08362359181046486	-0.0134755396284163	0.008217494003474712	0.2097909152507782	0.040943888016045094	0.009475173894315958	0.02747481781989336	-0.06006811745464802	0.12504161521792412
75%	86.29249954223633	1.0	0.6600733250379562	0.6383616626262665	0.526517391204834	0.7575797885656357	0.7961541265249252	0.7523446679115295	0.747086226940155	0.596968412399292	0.5332020074129105	0.6427319794893265	0.6887305080890656	0.6886274963617325	0.7274314612150192	0.7941750437021255	0.5958959311246872	0.6192398369312286	0.745258167386055	0.6953916251659393	0.6516548991203308	0.7278949320316315	0.6434953659772873	0.7517256736755371	0.6685794442892075	0.6753537952899933	0.760385051369667	0.7669336646795273	0.5761099606752396	0.5540299266576767	0.7366705238819122	0.6211410760879517	0.8049052506685257	0.5885240733623505	0.6540083885192871	0.7856899499893188	0.6502207070589066	0.7660205662250519	0.7954058945178986	0.6872632056474686	0.7433668375015259	0.7720535099506378	0.7066732197999954	0.6266481727361679	0.7826437652111053	0.6430779248476028	0.8329124450683594	0.6393996626138687	0.7183573544025421	0.5925059020519257	0.4942023754119873	0.6642211675643921	0.7266836017370224	0.6383902728557587	0.9314014762639999	0.60907381772995	0.634962871670723	0.8612169325351715	0.6880963444709778	0.6289052367210388	0.7008043080568314	0.6838168203830719	0.5676749050617218	0.6554978638887405	0.6527844667434692	0.7325478047132492	0.6274763941764832	0.7528490722179413	0.6526014357805252	0.712013453245163	0.6973420232534409	0.6235280781984329	0.6388910561800003	0.5494497269392014	0.7124228924512863	0.7405225485563278	0.7160707414150238	0.6755876690149307	0.5940280854701996	0.5056782364845276	0.8148763328790665
max	99.44999694824219	1.0	3.4556024074554443	2.84670090675354	3.696302652359009	2.8980448246002197	2.9468181133270264	2.51069712638855	2.782467842102051	2.548179864883423	3.2748453617095947	3.3913660049438477	3.6315228939056396	2.595526695251465	2.4612488746643066	3.111845016479492	2.9514598846435547	3.1243929862976074	2.5331568717956543	2.420598268508911	2.5506038665771484	3.9793152809143066	2.7584824562072754	2.6748173236846924	3.0185678005218506	3.1744508743286133	3.516172170639038	2.133822202682495	3.6073975563049316	2.6700491905212402	3.5129525661468506	2.998063802719116	2.7464864253997803	3.0484976768493652	2.7431247234344482	2.490055561065674	2.203366279602051	3.5721065998077393	3.903104305267334	3.2844581604003906	3.362201690673828	2.558013439178467	2.4294586181640625	3.2953004837036133	2.848466157913208	4.915983200073242	2.6555120944976807	3.084536552429199	3.207242965698242	2.871453046798706	2.76067852973938	3.1549317836761475	2.7925679683685303	2.431762218475342	3.468456506729126	3.113149881362915	3.1394190788269043	3.173335552215576	3.5305533409118652	2.7873480319976807	2.702054262161255	2.4399304389953613	2.681760549545288	2.754307746887207	2.6095242500305176	2.8133718967437744	2.8827528953552246	2.5956814289093018	2.756255626678467	4.116652965545654	2.693739652633667	3.6177127361297607	2.6910860538482666	3.1297056674957275	3.2543957233428955	3.0770745277404785	2.542973756790161	3.1379551887512207	2.7859199047088623	2.7447967529296875	2.7859385013580322
