	nb:Age	nb:Sex_snomed:248152002	lh_caudalanteriorcingulate_thickness	lh_caudalmiddlefrontal_thickness	lh_cuneus_thickness	lh_entorhinal_thickness	lh_fusiform_thickness	lh_inferiorparietal_thickness	lh_inferiortemporal_thickness	lh_isthmuscingulate_thickness	lh_lateraloccipital_thickness	lh_lateralorbitofrontal_thickness	lh_lingual_thickness	lh_medialorbitofrontal_thickness	lh_middletemporal_thickness	lh_parahippocampal_thickness	lh_paracentral_thickness	lh_parsopercularis_thickness	lh_parsorbitalis_thickness	lh_parstriangularis_thickness	lh_pericalcarine_thickness	lh_postcentral_thickness	lh_posteriorcingulate_thickness	lh_precentral_thickness	lh_precuneus_thickness	lh_rostralanteriorcingulate_thickness	lh_rostralmiddlefrontal_thickness	lh_superiorfrontal_thickness	lh_superiorparietal_thickness	lh_superiortemporal_thickness	lh_supramarginal_thickness	lh_transversetemporal_thickness	lh_insula_thickness	rh_caudalanteriorcingulate_thickness	rh_caudalmiddlefrontal_thickness	rh_cuneus_thickness	rh_entorhinal_thickness	rh_fusiform_thickness	rh_inferiorparietal_thickness	rh_inferiortemporal_thickness	rh_isthmuscingulate_thickness	rh_lateraloccipital_thickness	rh_lateralorbitofrontal_thickness	rh_lingual_thickness	rh_medialorbitofrontal_thickness	rh_middletemporal_thickness	rh_parahippocampal_thickness	rh_paracentral_thickness	rh_parsopercularis_thickness	rh_parsorbitalis_thickness	rh_parstriangularis_thickness	rh_pericalcarine_thickness	rh_postcentral_thickness	rh_posteriorcingulate_thickness	rh_precentral_thickness	rh_precuneus_thickness	rh_rostralanteriorcingulate_thickness	rh_rostralmiddlefrontal_thickness	rh_superiorfrontal_thickness	rh_superiorparietal_thickness	rh_superiortemporal_thickness	rh_supramarginal_thickness	rh_transversetemporal_thickness	rh_insula_thickness
count	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0	24.0
mean	74.413330078125	0.5416666666666666	0.10238131880760193	-0.28816455602645874	0.1448480784893036	0.26681986451148987	0.03390861302614212	-0.13281340897083282	0.07699236273765564	-0.17671431601047516	-0.23976635932922363	-0.13615524768829346	-0.5830003619194031	-0.0373583622276783	-0.44565629959106445	0.32177552580833435	0.021115800365805626	-0.14802728593349457	0.07952819764614105	0.46827661991119385	0.14980924129486084	-0.10704325884580612	-0.12233278155326843	-0.19663552939891815	-0.10180411487817764	-0.027947237715125084	-0.20943473279476166	-0.0065330141223967075	-0.17125701904296875	-0.33707866072654724	-0.15951210260391235	-0.2987476885318756	-0.009484251029789448	0.10051581263542175	-0.14759624004364014	0.058745939284563065	-0.10719861835241318	-0.008545358665287495	-0.12643873691558838	0.06017215922474861	-0.04880017042160034	0.2462826520204544	-0.1501326709985733	-0.08141754567623138	0.08044058829545975	-0.4102797508239746	0.0006319234962575138	0.0795649066567421	-0.11991377919912338	-0.05471237376332283	-0.19930203258991241	-0.026417484506964684	-0.16681087017059326	-0.24004922807216644	0.06061198189854622	-0.1033446192741394	-0.006884182337671518	0.30122923851013184	0.15591011941432953	0.06520166248083115	0.4317561686038971	-0.09892439842224121	-0.10555720329284668	-0.0015996495494619012
std	12.843921661376953	0.5089773777040516	0.8352147340774536	1.2059468030929565	0.9077165126800537	1.1290254592895508	0.9224436283111572	1.0745186805725098	0.772308349609375	1.1963374614715576	0.917948305606842	0.9468231201171875	1.1024150848388672	1.0992236137390137	0.9327613115310669	1.494184136390686	0.9292533993721008	1.0531823635101318	1.0646846294403076	0.7046808004379272	1.0186353921890259	0.8667099475860596	0.860414445400238	0.7805173993110657	1.1098129749298096	1.0074158906936646	1.0029869079589844	0.9792189598083496	0.997821569442749	0.8836908340454102	1.0909422636032104	1.2494475841522217	0.8460882306098938	0.9504374861717224	0.8987040519714355	1.1572378873825073	0.9913076758384705	0.8793818354606628	1.3331525325775146	1.1453542709350586	0.9245740175247192	1.0812280178070068	0.9864722490310669	0.8045578002929688	1.0455293655395508	0.646270215511322	1.3264392614364624	0.7124330401420593	1.259708285331726	0.9854323267936707	0.9236086010932922	0.9564613103866577	0.9414752721786499	0.8831971883773804	1.2691890001296997	1.0353304147720337	0.938357412815094	1.0456830263137817	0.703944742679596	1.226823329925537	0.8871576189994812	0.8359172940254211	0.8781043887138367	1.1494600772857666
min	51.31999969482422	0.0	-1.409074068069458	-2.3147966861724854	-1.7238425016403198	-3.827214241027832	-1.9053667783737183	-2.245008945465088	-1.4815136194229126	-2.8051598072052	-2.017244577407837	-1.7418744564056396	-2.581414222717285	-2.025408983230591	-2.6417343616485596	-2.4333717823028564	-1.4713988304138184	-2.108708381652832	-2.0590951442718506	-0.48996463418006897	-2.022406816482544	-1.7338191270828247	-1.6136795282363892	-1.4136708974838257	-2.6891932487487793	-1.6215765476226807	-1.6120859384536743	-2.7202396392822266	-2.163336992263794	-2.1957974433898926	-2.116682291030884	-3.2081198692321777	-1.2229536771774292	-1.8836835622787476	-1.9548869132995605	-1.9591562747955322	-1.9223756790161133	-1.567031741142273	-2.102015256881714	-1.966078281402588	-1.301501989364624	-2.9751741886138916	-1.6963227987289429	-1.2222360372543335	-2.1180238723754883	-1.475224494934082	-2.3956589698791504	-1.1616305112838745	-2.3555588722229004	-2.23612117767334	-2.4508450031280518	-1.4520108699798584	-2.404613971710205	-1.7025307416915894	-2.011385679244995	-2.2230429649353027	-1.6065728664398193	-1.4438201189041138	-1.0972392559051514	-2.222116470336914	-1.363511562347412	-1.4066643714904785	-1.7701992988586426	-1.9757493734359741
25%	68.92749977111816	0.0	-0.48204077780246735	-1.1594086587429047	-0.47736602276563644	-0.240131214261055	-0.3665318936109543	-0.9986854791641235	-0.44312360137701035	-0.9750494062900543	-0.8071196228265762	-0.721045196056366	-1.2539832592010498	-0.9344700127840042	-1.0950513780117035	-0.9806389212608337	-0.6448809057474136	-0.9564096629619598	-0.7125588059425354	-0.1856171190738678	-0.35585857927799225	-0.5846880376338959	-0.7393741309642792	-0.8096802830696106	-0.48542512208223343	-0.9407501369714737	-0.9597052037715912	-0.6990871131420135	-0.8753712922334671	-0.642654225230217	-1.0161332935094833	-1.2377785444259644	-0.46746092289686203	-0.4011884927749634	-0.8824928551912308	-0.771378755569458	-0.9230556786060333	-0.6142787486314774	-0.8141641169786453	-0.7829225212335587	-0.6341490000486374	-0.3053580969572067	-0.8784655779600143	-0.6722593903541565	-0.5538652241230011	-0.8339869976043701	-0.7797189056873322	-0.47389189153909683	-1.1343005001544952	-0.5235857963562012	-0.7256086617708206	-0.7825873792171478	-0.5255370140075684	-0.9623625576496124	-0.7206072509288788	-0.7499002069234848	-0.7554755061864853	-0.4695109352469444	-0.31343431770801544	-0.7930149883031845	-0.04642239399254322	-0.7797461003065109	-0.6927966922521591	-0.7970549464225769
50%	75.35499954223633	1.0	0.18739686906337738	-0.12533175945281982	0.1805097982287407	0.22227843105793	0.01212504506111145	-0.30278078466653824	0.14346842840313911	-0.10405108705163002	-0.3314366042613983	-0.18745467066764832	-0.5521752834320068	-0.04064583778381348	-0.5288970768451691	0.5027534663677216	-0.14590000361204147	0.06802334263920784	0.12441160529851913	0.36801597476005554	0.20945388823747635	-0.056637199595570564	-0.29523368179798126	-0.464973121881485	-0.15956781804561615	-0.034002870321273804	-0.2478463500738144	0.0732814334332943	-0.12854943424463272	-0.37435072660446167	0.07404330745339394	-0.3206688091158867	-0.040051594376564026	0.3129477947950363	0.05934235081076622	-0.027632638812065125	-0.17676741629838943	-0.04488196410238743	-0.39422403275966644	0.15644009411334991	-0.21316271275281906	0.2646971642971039	-0.38607749342918396	-0.30868755280971527	-0.021309256553649902	-0.2642722427845001	0.11927907168865204	0.03400742821395397	-0.14143508952111006	-0.13729310780763626	-0.3070225492119789	0.02079145982861519	-0.18079718947410583	-0.06026559695601463	-0.021581515669822693	-0.16933484002947807	0.03627582639455795	0.1666729673743248	0.21191106736660004	-0.049835529178380966	0.4081476926803589	-0.10285383835434914	-0.15734731033444405	-0.23809503018856049
75%	83.57500076293945	1.0	0.694094106554985	0.35950713604688644	0.558508038520813	1.0394681841135025	0.4803987890481949	0.7551112323999405	0.6508899033069611	0.5038664937019348	0.39616934210062027	0.40509723871946335	0.024052593857049942	0.8030119985342026	0.26904869452118874	1.3830890953540802	0.8382565379142761	0.504843682050705	0.7517828047275543	1.1074907183647156	0.7034904509782791	0.39121998846530914	0.3698369637131691	0.4244384467601776	0.431900329887867	0.8199046850204468	0.5199698358774185	0.6587033122777939	0.5482685714960098	0.1061690729111433	0.612519159913063	0.22568902745842934	0.40306035429239273	0.6046823561191559	0.4714163839817047	0.9301430732011795	0.6013180911540985	0.5144160687923431	0.08973664045333862	0.8424506783485413	0.5131800174713135	0.9205350875854492	0.7063327431678772	0.46453116089105606	0.819645345211029	0.11830892600119114	0.9568300694227219	0.6808629333972931	0.6967796087265015	0.8864037692546844	0.5489953607320786	0.5175579488277435	0.47330688685178757	0.4538414403796196	0.8260540515184402	0.4771466627717018	0.567879781126976	0.8883076161146164	0.6422544121742249	0.9294586777687073	1.1669634282588959	0.36686228960752487	0.4063499867916107	0.8043500632047653
max	96.33999633789062	1.0	1.7699649333953857	2.496840715408325	1.934076189994812	1.8035540580749512	1.5416699647903442	1.6150096654891968	1.4279512166976929	2.384150266647339	2.1020641326904297	1.8364700078964233	1.589815378189087	1.932493805885315	1.1613223552703857	3.111845016479492	1.482253074645996	1.5674090385437012	2.4413630962371826	1.68790864944458	2.4045681953430176	1.2567743062973022	1.6435272693634033	1.3995075225830078	2.246990203857422	1.6962718963623047	1.9249465465545654	2.0561957359313965	1.3711152076721191	1.354398488998413	1.7973424196243286	2.5253372192382812	2.165574312210083	1.8604785203933716	1.4987348318099976	1.9735652208328247	1.4474352598190308	1.6524089574813843	3.5508716106414795	2.0365030765533447	1.7392635345458984	1.9547301530838013	1.7121838331222534	1.5650945901870728	1.9063031673431396	0.6686348915100098	1.9428446292877197	1.395658254623413	2.494602680206299	1.2693885564804077	1.6191045045852661	2.502021312713623	1.8414000272750854	0.9670168161392212	2.500171422958374	2.0370845794677734	2.367191791534424	2.653214693069458	1.5223994255065918	2.7873480319976807	2.057681083679199	1.4680408239364624	1.7570215463638306	2.477088451385498
