	nb:Sex_snomed:248152002	Left-Lateral-Ventricle	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Left-Hippocampus	Left-Amygdala	Left-Accumbens-area	Right-Lateral-Ventricle	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	EstimatedTotalIntraCranialVol
count	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0	48.0
mean	0.4375	-0.10804275423288345	0.0564364492893219	-0.059790607541799545	0.28078362345695496	-0.09942581504583359	-0.05604639649391174	0.06606320291757584	0.0682171881198883	-0.020118383690714836	0.06518412381410599	-0.02101319096982479	0.14149121940135956	0.049331724643707275	0.16469331085681915	0.25575873255729675	-0.06900817155838013	0.1456729620695114
std	0.5013280235873938	1.1459181308746338	1.0270848274230957	0.9621527791023254	0.8481569290161133	1.0345038175582886	1.0667287111282349	1.0138564109802246	1.1606110334396362	0.7786849737167358	0.8465962409973145	1.1854959726333618	0.9947207570075989	1.0241130590438843	0.9906079769134521	0.988145112991333	1.0005874633789062	0.9928930401802063
min	0.0	-2.2635014057159424	-1.9515752792358398	-2.390338897705078	-1.5191341638565063	-2.6251111030578613	-2.383563756942749	-2.0734851360321045	-2.595590829849243	-1.7390393018722534	-2.036548614501953	-3.4492862224578857	-2.231048107147217	-2.287681818008423	-1.806154727935791	-2.4443230628967285	-1.8567219972610474	-2.676011800765991
25%	0.0	-0.9249921441078186	-0.637944757938385	-0.7678659558296204	-0.33198704570531845	-0.7289789915084839	-0.9903595447540283	-0.49147212505340576	-0.5893569141626358	-0.5474046915769577	-0.4378797709941864	-0.6492580324411392	-0.7459365427494049	-0.7202461212873459	-0.5153027772903442	-0.22230557724833488	-0.8070966601371765	-0.42025356739759445
50%	0.0	-0.13689639791846275	0.031391583383083344	0.006437838077545166	0.23612253367900848	-0.027987103909254074	-0.10071639344096184	0.046433061361312866	-0.18887608498334885	0.07600167952477932	0.08884359896183014	-0.08608783408999443	0.241415873169899	0.24734574556350708	0.09114803746342659	0.15696024894714355	-0.020962953567504883	0.1780175045132637
75%	1.0	0.7708849310874939	0.8654861748218536	0.49895142018795013	0.935467392206192	0.6312887668609619	0.6384686380624771	0.622605100274086	0.7747774124145508	0.5460502356290817	0.581923708319664	0.6431791186332703	0.6343635320663452	0.6798296272754669	0.8315787464380264	0.8350515812635422	0.4716034308075905	0.843352735042572
max	1.0	2.0249955654144287	1.9503371715545654	1.857089877128601	2.1252176761627197	2.645390272140503	2.025139331817627	2.693739652633667	3.6177127361297607	1.4799150228500366	1.621780514717102	2.8410427570343018	2.3018503189086914	2.106961727142334	2.3949809074401855	2.486402750015259	2.2613558769226074	2.070392370223999
